"LANGUAGE","简体中文","Language name (in native language)."
"LANGUAGE_CHOICE","选择语言","Heading for language selection menu."
"LANGUAGE_GAME","使用游戏默认语言","Default selection in language selection menu."
"NOTE_CLOSE","关闭","Notification button text - closes the notification."
"NOTE_DONTSHOWAGAIN","不再显示","Notification button text - don't show this notification again."
"NO","否","Notification button text - don't perform this action."
"YES","是","Notification button text - perfom this action."
"PRESS_ANY_KEY","请按任意键","Shown when awaiting user input when changing a key setting."
"CONFLICT_DETECTED","检测到模组冲突！","Warning message that a mod conflict was detected."
"UNABLE_TO_OPERATE","这表明模组无法运行且已经自动关闭","Warning message letting the user know that the mod can't work."
"CONFLICTING_MODS","冲突模组为：","Part of the mod conflict warning notification - header for the list of conflicting mods."
"HARMONY_ERROR","模组无法完成必需的 Harmony库 调用","Warning message that a patching problem was detected, and the mod can't operate."
"HARMONY_PROBLEM_CAUSES","造成该问题的原因可能是：","Header for list of possible causes of Harmony errors."
"HARMONY_NOT_INSTALLED","本模组所需的前置模组Harmony 2并未订阅或未启用","Possible cause of Harmony error - Harmony not installed."
"HARMONY_MOD_ERROR","存在一个旧版/损坏模组导致Harmony 2无法正常运行","Possible cause of Harmony error - a broken mod (not this one) can cause things to stop working."
"HARMONY_MOD_CONFLICT","另一个模组可能在尝试应用冲突的Harmony补丁","Possible cause of Harmony error - two mods trying to patch the same thing at once."
